what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1339678060709
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/header into a drawable",1339678064651
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/circular_btn_normal into a drawable",1339678064652
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_72px_sowing into a drawable",1339678064653
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/plot into a drawable",1339678064676
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/home into a drawable",1339678064679
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064680
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/help into a drawable",1339678064681
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064682
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064684
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064686
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064690
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_48px_pest into a drawable",1339678064691
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/empty into a drawable",1339678064692
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064695
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064697
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064700
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064709
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_48px_pest into a drawable",1339678064710
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/pic_90px_button_tiled into a drawable",1339678064712
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064716
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/pic_90px_button_tiled into a drawable",1339678064718
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064720
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064723
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064725
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064727
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_48px_pest into a drawable",1339678064729
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/empty into a drawable",1339678064730
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064732
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064734
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064736
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064738
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_48px_pest into a drawable",1339678064739
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/empty into a drawable",1339678064740
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064745
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064747
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064750
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064752
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_48px_pest into a drawable",1339678064753
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/def_img into a drawable",1339678064755
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_72px_ok into a drawable",1339678064757
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064758
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/ic_72px_cancel into a drawable",1339678064760
error,log,,,"sowing_dialog.xml: Failed to convert @drawable/square_btn_transp into a drawable",1339678064761
opened,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1339678064901
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1339678065007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339678092837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339678095059
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1339678095062
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339678095281
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339678095792
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1339678095792
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1339678095792
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1339678095793
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1339678095793
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1339678095794
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1339678095794
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1339678095794
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,17.0.0.v201203161636-291853,"overlay.com.android.ide.eclipse.adt.overlay",1339678095794
stopped,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1339678095794
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1339678095795
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1339678095795
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1339678095796
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1339678095796
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1339678095796
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1339678095796
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1339678095796
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1339678095796
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1339678095796
stopped,bundle,org.eclipse.m2e.core.ui,1.0.200.20111228-1245,"org.eclipse.m2e.core.ui",1339678095797
stopped,bundle,org.eclipse.m2e.core,1.0.200.20111228-1245,"org.eclipse.m2e.core",1339678095797
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1339678095797
stopped,bundle,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui",1339678095798
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1339678106192
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1339678106193
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1339678106194
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1339678106194
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1339678106194
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1339678106195
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1339678106195
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1339678106196
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1339678106196
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339678106196
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1339678106197
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1339678106197
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1339678106198
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1339678106198
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1339678106198
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1339678106199
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1339678106199
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1339678106200
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1339678106201
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1339678106202
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1339678106202
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1339678106203
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1339678106203
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1339678106203
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1339678106203
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1339678106204
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1339678106204
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1339678106204
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1339678106204
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1339678106205
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1339678106205
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1339678106205
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1339678106206
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1339678106206
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1339678106206
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1339678106207
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1339678106207
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1339678106207
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1339678106207
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1339678106208
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1339678106208
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1339678106209
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1339678106209
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1339678106210
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1339678106210
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1339678106210
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1339678106212
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1339678106212
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1339678106213
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1339678106213
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1339678106213
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339678106214
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1339678106214
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1339678106215
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1339678106215
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1339678106225
